                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.0493,                 2.3289,                 1.8449,                0.96653,                      1,                  0.995,                 0.8955,                0.76703,                 1.5622,                 1.1375,               0.000632,               0.000632,               0.000632
                     60,                 1.0239,                 2.3202,                 1.8313,                0.97013,                      1,                  0.995,                  0.995,                 0.4646,                 1.8392,                 0.9448,             0.00063059,             0.00063059,             0.00063059
                     61,                 1.0014,                 2.1999,                 1.8681,                0.95962,                      1,                  0.995,                  0.995,                0.28134,                 1.2969,                0.88137,             0.00062918,             0.00062918,             0.00062918
                     62,                  1.011,                 2.1988,                  1.845,                0.95587,                      1,                  0.995,                  0.995,                0.39618,                 1.2632,                0.92322,             0.00062776,             0.00062776,             0.00062776
                     63,                 1.0153,                 2.2219,                 1.8653,                 0.9678,                      1,                  0.995,                 0.8955,                0.42245,                 1.1809,                 0.9063,             0.00062635,             0.00062635,             0.00062635
                     64,                0.98853,                 2.2172,                 1.8063,                0.96665,                      1,                  0.995,                  0.995,                0.36643,                 1.7856,                0.87169,             0.00062494,             0.00062494,             0.00062494
                     65,                0.95455,                 2.1465,                 1.8209,                0.95384,                      1,                  0.995,                 0.8955,                0.51806,                 2.8731,                0.91741,             0.00062352,             0.00062352,             0.00062352
                     66,                0.99612,                 2.1397,                 1.7795,                0.97073,                      1,                  0.995,                 0.8955,                0.53145,                 1.9761,                0.92682,             0.00062211,             0.00062211,             0.00062211
                     67,                0.91338,                 2.0433,                 1.7373,                 0.9678,                      1,                  0.995,                  0.995,                0.25809,                 1.1264,                0.80277,             0.00062069,             0.00062069,             0.00062069
                     68,                0.85202,                 1.9181,                 1.6767,                0.94806,                      1,                  0.995,                  0.995,                0.30481,                 1.5286,                0.83081,             0.00061928,             0.00061928,             0.00061928
                     69,                0.81051,                 1.9991,                 1.6702,                 0.9301,                      1,                  0.995,                  0.796,                 0.5576,                 1.3667,                 1.0008,             0.00061787,             0.00061787,             0.00061787
                     70,                0.81547,                 1.9784,                 1.6484,                0.93657,                      1,                  0.995,                  0.995,                0.38038,                 1.4225,                0.95061,             0.00061645,             0.00061645,             0.00061645
                     71,                0.90978,                  2.068,                 1.6803,                 0.8894,                      1,                  0.995,                 0.8955,                0.62738,                 1.7885,                 1.0417,             0.00061504,             0.00061504,             0.00061504
                     72,                0.94794,                 2.1064,                  1.707,                0.94926,                      1,                  0.995,                 0.8955,                0.51572,                 1.1665,                0.96725,             0.00061363,             0.00061363,             0.00061363
                     73,                0.81417,                 1.9243,                 1.6689,                      1,                      1,                  0.995,                  0.995,                0.35753,                 1.1596,                0.84749,             0.00061221,             0.00061221,             0.00061221
